Screen-Size,RAM,Price,Brand,Processor,GPU,GPU-Type,Resolution,Condition
15.6,8,549.0,Asus,Intel Core i3 12th Gen.,AMD FirePro M4100,Dedicated Graphics,1920 x 1080,New
14.0,16,921.99,Lenovo,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,New
14.0,8,199.99,Dell,Intel Core i5 6th Gen.,AMD FirePro M4100,Dedicated Graphics,1024 x 768,Very Good - Refurbished
16.0,16,659.99,Dell,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,1920 x 1200,Excellent - Refurbished
14.0,8,525.0,LG,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,New
14.0,16,424.99,Lenovo,Intel Core i5 11th Gen.,Intel(R) Iris(R) Xe Graphics,Integrated Graphics,1920 x 1200,Good - Refurbished
14.0,16,809.99,Dell,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1024 x 768,Open box
15.6,8,289.0,Lenovo,Intel Core i3 11th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
15.6,32,751.06,Lenovo,Intel Core i5 11th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Very Good - Refurbished
12.5,16,219.88,Dell,Intel Core i7 6th Gen.,Intel® HD Graphics,Integrated Graphics,1024 x 768,Excellent - Refurbished
14.0,32,399.99,Dell,Intel Core i7 8th Gen.,AMD FirePro M4100,Integrated Graphics,1024 x 768,Very Good - Refurbished
15.6,8,770.0,HP,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1080,New
16.0,16,579.0,Lenovo,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1200,Open box
15.6,8,549.0,Asus,Intel Core i3 12th Gen.,AMD FirePro M4100,Dedicated Graphics,1920 x 1080,New
15.6,16,649.99,Dell,Intel Core i5 10th Gen.,NVIDIA Quadro T1000 4GB GDDR6,Dedicated Graphics,1920 x 1080,Excellent - Refurbished
14.0,16,649.95,HP,Intel Core i5 11th Gen.,AMD FirePro M4100,Dedicated Graphics,1920 x 1080,Open box
12.4,8,434.49,Microsoft,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1536 x 1024,Open box
14.0,32,249.99,Lenovo,Intel Core i5 7th Gen.,AMD FirePro M4100,Integrated Graphics,1920 x 1080,Open box
15.0,32,799.99,Microsoft,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,Dedicated Graphics,2496 x 1664,Good - Refurbished
14.0,16,389.99,HP,Intel Core i5 10th Gen.,Intel UHD Graphics,Integrated Graphics,1920 x 1080,Open box
13.0,16,529.0,Dell,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,Integrated Graphics,1920 x 1280,Open box
